,Word,Freq
0,case,1
1,case_study,1
2,collected,1
3,conditions,1
4,digital,3
5,digital_twin,3
6,energy,1
7,framework,3
8,generation,1
9,help,1
10,improve,1
11,information,1
12,process,1
13,systems,1
14,twin,3
15,automated,1
16,equipment,2
17,incorporating,1
18,integration,2
19,interaction,1
20,network,1
21,sector,1
22,survey,1
23,management,1
24,methods,2
25,parameters,1
26,performance,3
27,prediction,3
28,presents,2
29,terms,1
30,analysis,1
31,applied,1
32,expected,1
33,identified,1
34,problem,1
35,sources,1
36,building,7
37,decision,2
38,decision_making,2
39,insights,1
40,point,1
41,detection,3
42,fault,2
43,maintenance,1
44,possible,1
45,predictive_maintenance,1
46,depth,1
47,efficiency,1
48,novel,1
49,offer,1
50,evaluation,2
51,utilized,1
52,aspects,1
53,facility,1
54,solutions,1
55,compatible,1
56,feedback,1
57,short,1
58,non,1
59,visualization,2
60,user,1
61,aid,1
62,probabilistic,2
63,proposes,1
64,bim,4
65,building_information,1
66,platform,1
67,sustainable,1
68,absence,1
69,affect,1
70,bayesian,1
71,graph,1
72,influence,1
73,makers,2
74,numerous,2
75,response,1
76,sensor,1
77,speed,1
78,study_presents,1
