,Word,Freq
0,complex,4
1,digital,1
2,digital_twin,1
3,effective,1
4,important,1
5,information,2
6,needs,1
7,operation,1
8,process,1
9,systems,2
10,task,2
11,twin,1
12,analyze,1
13,consequently,1
14,control,1
15,demand,2
16,including,1
17,interaction,3
18,machine,1
19,survey,1
20,tools,1
21,driven,1
22,experimental,1
23,factors,1
24,methods,1
25,analysis,2
26,conducted,1
27,design,2
28,elements,1
29,issues,1
30,reduce,1
31,weighted,1
32,hierarchy,2
33,overall,1
34,common,1
35,enhanced,2
36,efficiency,2
37,aims,1
38,focused,1
39,extraction,1
40,utilized,1
41,construction,1
42,model_driven,1
43,frequently,1
44,interviews,1
45,complex_systems,1
46,calculated,1
47,error,2
48,established,2
49,basis,1
50,cause,1
51,rate,1
52,samples,1
53,user,7
54,elsevier,1
55,obtained,1
56,relationship,1
57,failure,1
58,human,2
59,form,1
60,numerous,1
61,cognitive,1
62,examine,1
63,frequency,1
64,interface,2
65,necessary,1
66,quantitative,1
67,questionnaire,1
68,target,1
