,Word,Freq
0,development,1
1,effective,4
2,information,1
3,order,1
4,analyze,1
5,course,1
6,integration,1
7,transfer,1
8,nonlinear,1
9,performance,1
10,type,1
11,analysis,2
12,applied,1
13,conducted,1
14,identified,1
15,loading,1
16,sources,1
17,analyses,1
18,associated,1
19,described,1
20,involved,1
21,point,1
22,provides,1
23,combined,1
24,suggest,1
25,technical,1
26,naive,1
27,typical,1
28,clinical,2
29,limitations,1
30,patients,2
31,adoption,1
32,determine,1
33,compared,1
34,non,1
35,result,1
36,samples,1
37,faster,2
38,human,1
39,line,1
40,acting,1
41,higher,1
42,mixed,1
43,society,1
44,sustainable,1
45,comprised,1
46,severe,1
47,independent,1
48,meta,3
49,meta_analysis,2
50,search,1
51,duration,1
52,smaller,1
53,efficacy,1
54,appears,1
55,trials,3
56,varying,1
57,agent,1
58,therapy,2
