,Word,Freq
0,complex,1
1,development,1
2,information,1
3,suitable,1
4,supervised,1
5,assess,1
6,automated,1
7,consequently,1
8,course,1
9,function,1
10,learning,4
11,machine,4
12,machine_learning,3
13,professionals,1
14,survey,1
15,approaches,2
16,employed,1
17,health,1
18,methods,1
19,research,2
20,techniques,3
21,analysis,1
22,different,1
23,decision,1
24,heart,3
25,support,1
26,detection,2
27,methodology,1
28,related,3
29,datasets,1
30,trustworthy,1
31,naive,1
32,support_vector,1
33,svm,1
34,tree,1
35,vector,1
36,treatment,1
37,cause,1
38,forest,1
39,highly,1
40,random,1
41,random_forest,1
42,aid,1
43,numerous,1
44,examine,1
45,necessary,1
46,healthcare,1
47,global,1
48,precision,1
49,exclusive,1
50,leading,1
51,knn,1
52,nearest,1
53,disease,1
54,recognized,1
55,known,1
56,licensed,1
57,exclusive_license,1
58,ensemble,1
59,mortality,1
