,Word,Freq
0,age,1
1,collected,1
2,effective,1
3,energy,3
4,implementation,1
5,test,2
6,analyze,3
7,experiments,2
8,function,1
9,learning,5
10,machine,5
11,machine_learning,4
12,mean,1
13,measurement,2
14,network,1
15,training,3
16,accuracy,2
17,advanced,1
18,algorithm,2
19,characteristics,1
20,experimental,1
21,future,1
22,methods,5
23,parameters,1
24,physical,1
25,prediction,1
26,techniques,1
27,traditional,1
28,analysis,2
29,boosting,1
30,different,1
31,problem,1
32,showed,1
33,tuning,1
34,achieving,1
35,decision,1
36,lags,1
37,principles,1
38,reliability,2
39,support,1
40,artificial,1
41,distribution,1
42,authors,3
43,classification,2
44,decision_tree,1
45,evaluation,1
46,machine_svm,1
47,naive,1
48,respectively,1
49,support_vector,1
50,svm,1
51,tree,1
52,vector,1
53,best,1
54,care,1
55,treatment,1
56,defined,2
57,experts,1
58,selection,1
59,validation,1
60,determine,1
61,actual,1
62,calculated,2
63,error,1
64,level,1
65,long,1
66,root,1
67,root_mean,1
68,square,1
69,square_error,1
70,cause,1
71,rate,1
72,result,1
73,neural,1
74,people,1
75,divided,1
76,rmse,1
77,human,3
78,classes,1
79,concludes,1
80,quantitative,1
81,questionnaire,3
82,score,2
83,basic,1
84,precision,2
85,conventional,1
86,appropriate,1
87,body,3
88,diagnostic,1
89,artificial_neural,1
90,leading,2
91,knn,1
92,nearest,1
93,ann,1
94,individual,1
95,known,1
96,personalized,4
97,ensemble,2
98,unique,1
99,balance,3
100,clearly,1
101,equally,1
102,recognition,1
