,Word,Freq
0,complex,1
1,effective,2
2,environment,2
3,generation,1
4,help,2
5,potential,2
6,process,1
7,systems,1
8,twin,1
9,analyze,1
10,including,1
11,interaction,2
12,advanced,1
13,domain,1
14,management,1
15,multiple,1
16,physical,1
17,analysis,1
18,built,1
19,design,5
20,identified,1
21,multi,1
22,reduce,1
23,simulation,1
24,specific,1
25,building,3
26,decision,2
27,decision_making,1
28,making,2
29,policy,1
30,stakeholders,2
31,support,1
32,architecture,1
33,enhanced,1
34,related,1
35,gap,1
36,evaluation,3
37,facility,2
38,lack,1
39,living,1
40,planning,1
41,reveal,1
42,transmission,4
43,perspective,1
44,user,1
45,group,1
46,reflectance,1
47,scale,1
48,human,1
49,risk,2
50,makers,1
51,change,1
52,space,1
53,implications,1
54,force,1
55,automatic,1
56,covid,2
57,pandemic,1
58,behaviour,2
59,agent,1
