,Word,Freq
0,collected,1
1,development,1
2,digital,2
3,digital_twin,2
4,field,1
5,generation,1
6,important,1
7,quality,1
8,review,6
9,trends,2
10,twin,2
11,analyze,2
12,emerging,2
13,including,1
14,internet,1
15,technology,3
16,things,1
17,tools,1
18,accuracy,1
19,advanced,1
20,algorithm,1
21,application,1
22,directions,1
23,factors,1
24,future,2
25,health,3
26,knowledge,1
27,methods,2
28,research,3
29,analysis,1
30,specific,1
31,transformation,1
32,achieving,1
33,analytics,1
34,insights,1
35,object,1
36,policy,1
37,provides,1
38,structure,2
39,covered,1
40,detection,1
41,enhanced,2
42,possible,2
43,spectrum,1
44,artificial,1
45,artificial_intelligence,1
46,attributes,1
47,capability,1
48,central,1
49,content,2
50,intelligence,1
51,offer,1
52,papers,3
53,recently,1
54,service,1
55,systematic,1
56,aims,1
57,categorization,1
58,findings,2
59,gathered,1
60,main,1
61,systematic_review,1
62,dts,1
63,goal,1
64,receiver,1
65,treatment,1
66,attention,1
67,conclusions,1
68,open,1
69,published,2
70,ability,1
71,contribution,1
72,topic,7
73,infrastructure,1
74,internet_things,1
75,transmission,1
76,china,1
77,curve,1
78,national,1
79,shape,1
80,supply,1
81,mining,1
82,scenarios,1
83,expand,1
84,focus,1
85,influence,1
86,quantitative,2
87,diverse,1
88,healthcare,8
89,valuable,1
90,precision,1
91,science,1
92,assumed,1
93,named,1
94,concentrations,1
95,idea,1
96,total,1
97,significance,1
98,disease,1
99,material,1
100,personalized,1
101,simultaneously,1
102,widespread,1
103,covid,1
104,web,1
105,broader,1
106,popularity,1
107,preferences,1
108,emerging_technologies,1
