,Word,Freq
0,case,2
1,case_study,2
2,development,1
3,digital,1
4,digital_twin,1
5,manufacturing,6
6,manufacturing_processes,2
7,process,5
8,production,1
9,quality,3
10,systems,2
11,twin,1
12,allow,1
13,assess,2
14,control,1
15,engineering,1
16,equipment,1
17,industry,2
18,integration,2
19,dynamic,1
20,factors,2
21,management,1
22,optimal,2
23,performance,1
24,research,2
25,applied,1
26,better,1
27,simulation,2
28,simulation_model,1
29,customers,1
30,decision,1
31,decision_making,1
32,making,1
33,provides,1
34,serve,1
35,area,4
36,maintenance,3
37,methodology,1
38,practitioners,1
39,strategies,2
40,asset,1
41,flow,2
42,novel,1
43,service,2
44,aims,1
45,companies,2
46,considered,2
47,respectively,1
48,status,1
49,ensuring,1
50,produced,1
51,conclusions,1
52,continuous,1
53,stability,1
54,level,1
55,basis,1
56,historical,1
57,result,1
58,conceptual,3
59,holistic,1
60,lifecycle,1
61,monitoring,1
62,implications,1
63,fail,1
64,manufacturing_systems,2
65,unique,1
66,model_developed,1
