,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Texts,References,Correspondence Address,Editors,Publisher,Sponsors,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
0,,"Malakuti S. (AUID: 58457088100), Schmitt J. (AUID: 57034772700), Platenius-Mohr M. (AUID: 57204930129), Grüner S. (AUID: 57211157714), Gitzel R. (AUID: 55969727800), Bihani P. (AUID: 57201277627)",,A four-layer architecture pattern for constructing and managing digital twins,2019,"13th European Conference on Software Engineering, ECSA 2019",,,,,,,18,10.1007/978-3-030-29983-5_16,https://www.doi.org/10.1007/978-3-030-29983-5_16,<ABB Corporate Research Center>,,"© Springer Nature Switzerland AG 2019.The promise of a digital twin is to make asset lifecycle information accessible by providing a single access point to the information. Thereby, it reduces the required time and effort and enables new data-intensive use cases. This paper provides an abstract four-layer architecture pattern to construct digital twins and to incorporate information from various kinds of sources. The pattern is designed to be flexibly extensible with new information sources and can flexibly support new kinds of proprietary or standard information. We discuss various alternatives to implement the pattern and provide an example realization based on microservices and OPC UA.","Digital twin, Information model, Microservice, OPC UA",,,,,,,,"<None, {eid: 85040537203}>, <None, {eid: 0004101993}>, <None, {eid: 85072820498}>, <Architectural aspects of Digital Twins in IIoT systems, {eid: 85055721125}>, <C2PS: A digital twin architecture reference model for the cloud-based cyber-physical systems, {eid: 85015767302}>, <A simulation-based architecture for smart cyber-physical systems, {eid: 84991687905}>, <A navigation framework for digital twins of factories based on building information modeling, {eid: 85044445847}>, <A digital twin based service oriented application for a 4.0 knowledge navigation in the smart factory, {eid: 85052893769}>, <Data-centric middleware based digital twin platform for dependable cyber-physical systems, {eid: 85028079218}>, <None, {eid: 85072845520}>",,,Springer Verlag,,,9/9/2019,,,,,,,eng,,Book Series,,,,2-s2.0-85072820852
5,,"Wang W. (AUID: 57233076600), Fan L. (AUID: 57204550409), Huang P. (AUID: 57201918501), Li H. (AUID: 57200167603)",,A new data processing architecture for multi-scenario applications in aviation manufacturing,2019,IEEE Access,,,,,,,24,10.1109/ACCESS.2019.2925114,https://www.doi.org/10.1109/ACCESS.2019.2925114,"<School of Mechanical and Electrical Engineering, University of Electronic Science and Technology of China>",,"© 2019 IEEE.The development of industry 4.0 has spurred the transformation of traditional manufacturing into modern industrial Internet-of-Things. The most notable feature during this transition is the improvement of digitization and intelligence based on the massive data drives. In such a data-driven environment, the processing, storage, and utilization of the industry data get more and more important. Usually, the traditional data processing architecture runs as a one-way streamline, which cannot adapt to the different requirements of the multi-scenario application. This paper proposed a new industrial big data processing architecture called Phi architecture, which can realize many functions such as batch data processing and stream data processing, distributed storage and access, and real-time control. Compared with other data processing architecture, the Phi architecture combined with edge computing and feedback control has the ability to deal with the different demands in aviation manufacturing. Next, the new architecture is designed for microservices pattern, which improves the flexibility and stability of the architecture, and makes it independent operated in multi-scenarios, such as state monitoring of workshop, adaptive data acquisition, feedback control, and user-oriented information classification. As a proof of concept, the architecture has been tested in a simulation digital manufacturing workshop. The results verify the improved effectiveness of the Phi architecture on the data feedback control and real-time processing. And, the development of microservices architecture greatly improves the efficiency, adaptability, and extensibility of the manufacturing process.","Data processing architecture, edge computing, microservices, multi-scenario application, real-time feedback",,,,,,,,"<Cyber-physical microservices: An IoT-based framework for manufacturing systems, {eid: 85050167602}>, <Intelligent manufacturing in the context of industry 4.0: A review, {eid: 85040743821}>, <Cyber-physical systems, {eid: 81055129165}>, <A cyber-physical systems architecture for industry 4.0-based manufacturing systems, {eid: 84921300723}>, <An ISA-95-based manufacturing intelligence system in support of lean initiatives, {eid: 84860902981}>, <Industry 4.0-An Introduction in the phenomenon, {eid: 85007014753}>, <Microservices, {eid: 84922850962}>, <None, {eid: 84877040956}>, <An improved cyber-physical systems architecture for industry 4.0 smart factories, {eid: 85028538568}>, <A cloud-based cyber-physical system for adaptive shop-oor scheduling and condition-based maintenance, {eid: 85046843510}>, <Design and development of a CNC machining process knowledge base using cloud technology, {eid: 84983394789}>, <Data quality management, data usage experience and acquisition intention of big data analytics, {eid: 84899458050}>, <Survey of technologies for real time big data streams analytic, {eid: 85018567623}>, <A big data analytics architecture for cleaner manufacturing and maintenance processes of complex products, {eid: 84999036761}>, <A survey on real-time big data analytics: Applications and tools, {eid: 85017310925}>, <Benchmarking big data architectures for social networks data processing using public cloud platforms, {eid: 85049321697}>, <The lambda and the kappa, {eid: 85029792877}>, <Lambda architecture for real time big data analytic, {eid: 85018560206}>, <Lambda architecture for cost-effective batch and speed big data processing, {eid: 84963716008}>, <Ahab: A cloudbased distributed big data analytics framework for the Internet of Things, {eid: 84978970019}>, <Streaming process discovery for lambda architecture-based process monitoring platform, {eid: 85058024279}>, <Optimised Lambda Architecture for monitoring scienti-c infrastructure, {eid: 85068641426}>, <A manufacturing big data solution for active preventive maintenance, {eid: 85029445795}>, <Processing distributed Internet of Things data in clouds, {eid: 84928741396}>, <The emergence of edge computing, {eid: 85009446769}>, <Mobile-edge computing and the Internet of Things for consumers: Extending cloud computing and services to the edge of the network, {eid: 84989332751}>, <Secure data storage and searching for industrial IoT by integrating fog computing and cloud computing, {eid: 85041224602, doi: 10.1109/TII.2018.2793350}>, <Internet of Things and edge cloud computing roadmap for manufacturing, {eid: 84991248061}>, <Challenges and opportunities in edge computing, {eid: 85011060262}>, <Edge-centric computing: Vision and challenges, {eid: 84977268028}>, <The promise of edge computing, {eid: 84969922595}>, <An edge computing architecture in the internet of things, {eid: 85051533206}>, <Fog computing for energy-aware load balancing and scheduling in smart factory, {eid: 85044350923}>, <Edge computing in IoT-based manufacturing, {eid: 85053451057}>, <EdgeIoT: Mobile edge computing for the Internet of Things, {eid: 85012981859}>, <A survey on the edge computing for the Internet of Things, {eid: 85037656743}>, <A cutting power model for tool wear monitoring in milling, {eid: 4544365515}>",,,Institute of Electrical and Electronics Engineers Inc.,,,1/1/2019,,,,,,,eng,,Journal,,,,2-s2.0-85068713238
10,,"Kuhn T. (AUID: 7101840137), Sadikow S. (AUID: 57218135914), Antonino P. (AUID: 36619591600)",,A Service-Based Production Ecosystem Architecture for Industrie 4.0,2019,KI - Kunstliche Intelligenz,,,,,,,8,10.1007/s13218-019-00589-y,https://www.doi.org/10.1007/s13218-019-00589-y,<Fraunhofer IESE>,,"© 2019, Gesellschaft für Informatik e.V. and Springer-Verlag GmbH Germany, part of Springer Nature.Changeability is one major goal of Industrie 4.0. Existing production architectures limit changeability, because programmable logic controllers (PLC) that are responsible for the execution of real-time production steps also define the order of production steps that are executed for every product. PLC programming therefore implicitly defines the production process. Consequently, any change of a production process requires changes in PLC code, causes potential side effects due to unknown controller dependencies, and requires extensive testing. We propose a service-based architecture approach that encapsulates production steps into re-useable services. Production cells invoke services, and comparable to multi-agent systems autonomously decide about optimal service invocations based on shared information. In this article, we outline our service-based architecture concept and describe a use-case that illustrates the decentral organization of production systems and the cooperative optimization of production steps.","Industrie 4.0, Self-optimizing, Self-reconfigurable, Service-based production, SoA",,,,,,,,"<The evolution of factory and building automation, {eid: 80054695924, doi: 10.1109/MIE.2011.942175}>, <Orchestration of service-oriented manufacturing processes, {eid: 33847276520}>, <Implementation of a process orchestration model in a service oriented holonic manufacturing system, {eid: 84992494534}>, <Towards a time-constrained web service infrastructure for industrial automation, {eid: 56349109468}>, <Separation of concerns on the orchestration of operations in flexible manufacturing, {eid: 84857583027, doi: 10.1108/01445151211198700}>, <Loosely-coupled automation systems using device-level SOA, {eid: 39749199109}>, <Plug & produce by modelling skills and service-oriented orchestration of reconfigurable manufacturing systems, {eid: 84946711970, doi: 10.1515/auto-2014-1157}>, <Context-based orchestration for control of resource-efficient manufacturing processes, {eid: 84887043308, doi: 10.3390/fi4030737}>, <Ontology-assisted engineering of cyberphysical production systems in the field of process technology, {eid: 85041839357, doi: 10.1109/TII.2018.2805320}>, <Details of the asset administration shell, {eid: 85088022986}>, <None, {eid: 71549160513}>",,,Springer Science and Business Media Deutschland GmbH,,,6/1/2019,,,,,,,eng,,Journal,,,,2-s2.0-85088024324
19,,"Dang K. (AUID: 57212246042), Trotskii I. (AUID: 57212247899)",,"Architecture for Automation System Metrics Collection, Visualization and Data Engineering - HAMK Sheet Metal Center Building Automation Case Study",2019,Open Engineering,,,,,,,2,10.1515/eng-2019-0065,https://www.doi.org/10.1515/eng-2019-0065,<Häme University of Applied Sciences>,,"© 2019 K. Dang and I. Trotskii, published by De Gruyter 2019.Ever growing building energy consumption requires advanced automation and monitoring solutions in order to improve building energy efficiency. Furthermore, aggregation of building automation data, similarly to industrial scenarios allows for condition monitoring and fault diagnostics of the Heating, Ventilations and Air Conditioning (HVAC) system. For existing buildings, the commissioned SCADA solutions provide historical trends, alarms management and setpoint curve adjustments, which are essential features for facility management personnel. The development in Internet of Things (IoT) and Industry 4.0, as well as software microservices enables higher system integration, data analytics and rich visualization to be integrated into the existing infrastructure. This paper presents the implementation of a technology stack, which can be used as a framework for improving existing and new building automation systems by increasing interconnection and integrating data analytics solutions. The implementation solution is realized and evaluated for a nearly zero energy building, as a case study.","analytics, anomaly detection, Building automation, IoT",,,,,,,,"<None, {eid: 85076283070}>, <State of the art in industrial automation, {eid: 84930695372}>, <None, {eid: 85076290470}>, <None, {eid: 85076314379}>, <None, {eid: 85076315185}>, <Making the move to microservice architecture, {eid: 85050539623}>, <None, {eid: 85076275693}>, <Two-step principal component analysis for dynamic processes monitoring, {eid: 85019408705}>, <Qstatistic and t2-statistic PCA-based measures for damage assessment in structures, {eid: 80052075757}>, <Cloud container technologies: A state-of-The-Art review, {eid: 85050374433}>, <K-shape: Eflcient and accurate clustering of time series, {eid: 85112863727}>, <None, {eid: 85076301200}>, <Machine learning for estimation of building energy consumption and performance: A review, {eid: 85054186947}>, <None, {eid: 85076293878}>, <K-shape clustering algorithm for building energy usage patterns analysis and forecasting model accuracy improvement, {eid: 85018567646}>, <A review on basic data- driven approaches for industrial process monitoring, {eid: 84899481774}>",,,De Gruyter,,,1/1/2019,,,,,,,eng,,Journal,,,,2-s2.0-85076318178
23,,"Antonino P.O. (AUID: 36619591600), Schnicke F. (AUID: 57209138657), Zhang Z. (AUID: 59159570900), Kuhn T. (AUID: 7101840137)",,Blueprints for architecture drivers and architecture solutions for Industry 4.0 shopfloor applications,2019,"13th European Conference on Software Architecture, ECSA 2019",,,,,,,21,10.1145/3344948.3344971,https://www.doi.org/10.1145/3344948.3344971,<Fraunhofer IESE>,,"© 2019 ACM.Industry 4.0 aims at evolving the current industrial processes towards directly connecting shopfloor machines to systems from different layers of the automation pyramid, such as Enterprise Resource Planning (ERP) or Manufacturing Execution Systems (MES). There are key functional and quality requirements that apply to most Industry 4.0 systems independent of the application domain, e.g., requirements related to interoperability, recoverability, security, and modifiability. Despite their importance, there is still a lack of understanding of (i) architecture drivers that focus on these quality aspects and (ii) architecture solutions for these architecture drivers that are adequate for a wide range of Industry 4.0 contexts. To contribute to filling this gap, we present in this paper (i) quality-centered architecture drivers derived from industrial cases, and (ii) architecture solutions based on the concepts of Digital Twins, Service-Oriented Architecture, and Virtual Automation Bus for four recurrent production plant scenarios. The architecture drivers and solutions presented in this paper were instantiated in different Industry 4.0 contexts, such as BaSys 4.0 (the German national reference project for Industry 4.0), and by the BaSys industry project partners.","Architecture driver, Architecture solution, Digital twin, Industry 4.0",,,,,,,,"<Insdustrie 4.0 automation bus, {eid: 85081972334}>, <Digitaler zwilling, {eid: 85026498729}>, <Proposal of an automation solutions architecture for industry 4.0, {eid: 85056704483}>, <None, {eid: 85081964507}>, <Challenges and requirements for the application of industry 4.0: A special insight with the usage of cyber-physical system, {eid: 85040789603}>, <A cpps architecture approach for industry 4.0, {eid: 84952946497}>, <Proactive manufacturing-A big-data driven emerging manufacturing paradigm, {eid: 85016519461}>, <None, {eid: 85034604760}>, <None, {eid: 72349086391}>",,,Association for Computing Machinery,,,9/9/2019,,,,,,,eng,,Conference Proceeding,,,,2-s2.0-85081983820
25,,"Trabesinger S. (AUID: 57208734934), Pichler R. (AUID: 57200655169), Schall D. (AUID: 15137297900), Gfrerer R. (AUID: 57208735793)",,Connectivity as a prior challenge in establishing CPPS on basis of heterogeneous IT-software environments,2019,"9th Conference on Learning Factories, CLF 2019",,,,,,,10,10.1016/j.promfg.2019.03.058,https://www.doi.org/10.1016/j.promfg.2019.03.058,"<Institute of Production Engineering, Graz University of Technology>, <Siemens AG Austria>, <T-Systems Austria GesmbH>",,"© 2019 The Authors. Published by Elsevier B.V.More and more elements in a modern production system are becoming smart devices and it is reasonable to integrate them into a Cyber Physical Production System (CPPS) in a consistent manner. There is the broad goal of many industrial players to open the rich potential of the Industrial Internet of Things (IIoT), which has to be fast, secure and adaptive. The growing number of ""things"" in a production system requires satisfying connectivity solutions that are different to an easy coming ""Peer-to-Peer architecture (P2P)"". The approach followed at the smartfactory@tugraz - the Learning Factory of Graz University of Technology in Austria - to achieve such an integration is to deploy an Enterprise Service Bus (ESB), which is at the core of Service Oriented Architecture (SOA). The goal is to integrate three main software applications including the Product Lifecycle Management (PLM), the Enterprise Resource Planning (ERP) and the Management Execution System (MES). The additional challenge in this project is that these mentioned main applications are all provided by different suppliers. The selected SOA approach provides the basis for a scalable and extensible solution via Connectivity Modules and standardized interfaces. The smartfactory@tugraz validates this SOA approach by applying it to a real and fully operational manufacturing line. The smartfactory@tugraz is not only a learning factory but rather an open ecosystem by offering both students and researchers as well as industrial partners the ability to perform research on this subject. It is thus the ideal place to study the challenges and to understand the benefits of pushing a CPPS to a mature level in terms of connectivity in a manufacturing context.","Connectivity, CPPS, ESB, OPC UA, Peer-to-peer architecture (P2P), Reference architecture, Service oriented architecture, Smart Factory, SOA Enterprise Service Bus",,,,,,,,"<Enterprise Architectures for the Digital Transformation in Small and Medium-sized Enterprises, {eid: 85044637997}>, <Forschungsraum smartfactory@tugraz - Die Sichtbarmachung einer agilen Fertigung, {eid: 85065645479}>, <A critical review of smart manufacturing & Industry 4.0, {eid: 85055904167}>, <None, {eid: 85042671846}>, <None, {eid: 85065647748}>, <SOA and Web Services Interface Design, {eid: 85014273181}>, <Architecting Scalable Enterprise Web Applications, {eid: 85065660830}>, <None, {eid: 33744509965}>, <None, {eid: 85065665480}>, <Enterprise Service Bus, {eid: 85065635720}>, <Loose Coupling, {eid: 85065642717}>, <Whats in a Service?, {eid: 36749076301}>, <None, {eid: 85047244766}>, <None, {eid: 85065658338}>, <None, {eid: 85048818555}>, <Anwendungsbeispiele zur Integration heterogener Steuerungssysteme bei robotergestützten Industrieanlagen, {eid: 85068473205}>",,,Elsevier B.V.,,,3/26/2019,,,,,,,eng,,Conference Proceeding,,,,2-s2.0-85065662522
26,,"Bigheti J.A. (AUID: 57193616944), Fernandes M.M. (AUID: 57210813954), Godoy E.D.P. (AUID: 36095613800)",,Control as a Service: A Microservice Approach to Industry 4.0,2019,"2nd IEEE International Workshop on Metrology for Industry 4.0 and IoT, MetroInd 4.0 and IoT 2019",,,,,,,19,10.1109/METROI4.2019.8792918,https://www.doi.org/10.1109/METROI4.2019.8792918,"<National Service of Industrial Training (Senai), Lençóis>, <São Paulo State University (Unesp)>",,"© 2019 IEEE.The Industry 4.0 (I4.0) is a new concept of production that requires a jointly use of industrial automation and information technologies in order to obtain greater efficiency, quality and productivity. The I4.0 implementation is tied to the application of recent technologies such as the Industrial Internet of Things and Cloud Computing. In this context, the paradigm of collaborative automation through the use and sharing of services provides a flexible, distributed and integrated architecture using communication networks. This paper focuses on the proposal of a microservice oriented architecture (MOA) for I4.0 applications. A review about industrial service-oriented architecture (SOA) applications and composition of services are presented. The development of microservices for the MOA architecture is presented as well as a case study of a closed process control loop as service.","Industrial Internet of Things, Moleculer framework, Process control, Service oriented architecture",,,,,,,,"<Industry 4. 0: A survey on technologies, applications and open research issues, {eid: 85020118455}>, <Digital transformation of manufacturing through cloud services and resource virtualization, {eid: 85062964121}>, <Industrial internet of things: Challenges, opportunities, and directions, {eid: 85049358359}>, <None, {eid: 84920670980}>, <The future of industrial communication: Automation networks in the era of the internet of things and industry 4. 0, {eid: 85017596114}>, <Industrial automation as a cloud service, {eid: 84961827521}>, <Cloud manufacturing: Strategic vision and state-of-the-art, {eid: 84888362486}>, <Interoperability for industrial cyber-physical systems: An approach for legacy systems, {eid: 85028505206}>, <Promising technologies for soa based industrial automation systems, {eid: 84930715563}>, <Industrial automation based on cyber-physical systems technologies: Prototype implementations and challenges, {eid: 84941662063}>, <Research on architecting microservices: Trends, focus, and potential for industrial adoption, {eid: 85021434750}>, <Reflections on soa and microservices, {eid: 85017305470}>, <Migration of industrial process control systems to service-oriented architectures, {eid: 85033713921}>, <Enabling distributed manufacturing resources through soa: The rest approach, {eid: 85008258413}>, <None, {eid: 85071549330}>, <Design and implementation of a service-oriented architecture for the optimization of industrial applications, {eid: 84890963494}>, <Research on architecting microservices: Trends, focus, and potential for industrial adoption, {eid: 85021434750}>, <Services and service composition-an introduction, {eid: 85117891104}>, <None, {eid: 85071521455}>, <None, {eid: 85071523061}>, <Improving pid control with unreliable communications, {eid: 34247119327}>, <Network design consideration for distributed control systems, {eid: 0036494252}>, <Microservices approach for the internet of things, {eid: 84996593372}>",,,Institute of Electrical and Electronics Engineers Inc.,,,6/4/2019,,,,,,,eng,,Conference Proceeding,,,,2-s2.0-85071585056
28,,"Thramboulidis K. (AUID: 6603223436), Vachtsevanou D.C. (AUID: 57202991439), Kontou I. (AUID: 57203765765)",,CPuS-IoT: A cyber-physical microservice and IoT-based framework for manufacturing assembly systems,2019,Annual Reviews in Control,,,,,,,34,10.1016/j.arcontrol.2019.03.005,https://www.doi.org/10.1016/j.arcontrol.2019.03.005,"<Electrical and Computer Engineering, University of Patras>",,"© 2019 Elsevier LtdToday's customers are characterized by individual requirements that lead the manufacturing industry to increased product variety and volume reduction. Manufacturing systems and more specifically assembly systems (ASs) should allow quick adaptation of manufacturing assets so as to respond to the evolving market requirements that lead to mass customization. Meanwhile, the manufacturing era is changing due to the fourth industrial revolution, i.e., Industry 4.0, that will change the traditional manufacturing environment to an IoT-based one. In this context, this paper introduces the concept of cyber-physical microservice in the Manufacturing and the ASs domain and presents the Cyber-Physical microservice and IoT-based (CPuS-IoT) framework. The CPuS-IoT framework exploits the benefits of the microservice architectural style and the IoT technologies, but also utilizes the existing in this domain huge investment based on traditional technologies, to support the life cycle of evolvable ASs in the age of Industry 4.0. It provides a solid basis to capture domain knowledge that is used by a model-driven engineering (MDE) approach to semi-automate the development, evolution and operation of ASs, as well as, to establish a common vocabulary for assembly system experts and IoT ones. The CPuS-IoT approach and framework effectively combines MDE with IoT and the microservice architectural paradigm. A case study for the assembly of an everyday life product is adopted to demonstrate the approach even to non-experts of this domain.","Assembly systems, Cyber-physical systems, Industry 4.0, IoT, Manufacturing system architecture, Microservices",,,,,,,,"<Analysis of the Methods Time Measurement (MTM) Methodology through its Application in Manufacturing Companies, {eid: 85063105349}>, <Decentralized control: Status and outlook, {eid: 84900474912}>, <Decision support for sequence generation in an assembly-oriented design environment, {eid: 2642553127}>, <Future trends in management and operation of assembly systems: From customized assembly systems to cyber-physical systems, {eid: 85041918454}>, <Internet of things for enterprise systems of modern manufacturing, {eid: 84900826011}>, <Assembly system design in the Industry 4.0 era: A general framework, {eid: 85031791393}>, <Multi-objective assembly line balancing considering component picking and ergonomic risk, {eid: 85028698266}>, <None, {eid: 85067527558}>, <IoT-based configurable information service platform for product lifecycle management, {eid: 84900809305}>, <Modelling and simulation of opportunistic IoT services with aggregate computing, {eid: 85053778744}>, <An advanced cyber physical framework for micro devices assembly, {eid: 85028458837}>, <Assembly system configuration through Industry 4.0 principles: The expected change in the actual paradigms, {eid: 85044859693}>, <A software platform for supporting the design and reconfiguration of versatile assembly systems, {eid: 85049560558}>, <A real-time service-oriented architecture for industrial automation, {eid: 69249218873}>, <Microservices: Yesterday, today, and tomorrow, {eid: 85054938535}>, <Keeping track of the physical in assembly processes, {eid: 84992560957}>, <Toward opportunistic services for the industrial Internet of Things, {eid: 85044750246}>, <Assembly system design and operations for product variety, {eid: 80051668632}>, <Constraint-based interactive assembly planning, {eid: 0030675394}>, <Practical semantics for the Internet of Things: Physical states, device mashups, and open questions, {eid: 84962216157}>, <Product, process and system ontologies and knowledge base for managing knowledge between different clients, {eid: 70349108400}>, <Intelligent assembly system for mechanical products and key technology based on internet of things, {eid: 84908081564}>, <An ontology for the definition and validation of assembly processes for evolvable assembly systems, {eid: 33746589988}>, <An integrated framework for design, management and operation of reconfigurable assembly systems, {eid: 85029542665}>, <None, {eid: 85063092036}>, <Configuration of smart environments made simple: Combining visual modeling with semantic metadata and reasoning, {eid: 84946175320}>, <Going solo: Hierarchical task analysis of the second driver in two-up (multi-person) freight rail operations, {eid: 85043606627}>, <Capability-based task allocation in human-robot collaboration, {eid: 85020859281}>, <Cyber-physical systems alter automation architectures, {eid: 84900498200}>, <AND/OR Graph representation of assembly plans, {eid: 0025418409}>, <None, {eid: 85063075495}>, <Hierarchical task analysis: Developments, applications, and extensions, {eid: 27744434006}>, <Secure integration of IoT and cloud computing, {eid: 85008227599}>, <A novel ontology-based service model for cyber physical system, {eid: 85039910158}>, <Extended liaison as an interface between product and process model in assembly, {eid: 84899671341}>, <Human-robot collaboration in cellular manufacturing: Design and development, {eid: 76249122509}>, <A Cyber-Physical system-based approach for industrial automation systems, {eid: 84931572168}>, <An open distributed architecture for flexible hybrid assembly systems: a model driven engineering approach, {eid: 84946771754}>, <A framework for MDE of IoT-based manufacturing cyber-physical systems, {eid: 85063081388}>, <Cyber-physical microservices: An iot-based framework for manufacturing systems, {eid: 85050167602}>, <Towards an IoT-based framework for evolvable assembly systems, {eid: 85106545857}>, <Microservices, {eid: 84922850962}>, <Functional composition of sensor web APIs, {eid: 84892394014}>, <Efficient runtime service discovery and consumption with hyperlinked RESTdesc, {eid: 83755186092}>, <IoT and cloud computing in automation of assembly modelling systems, {eid: 84900815294}>, <Industry 4.0: State of the art and future trends, {eid: 85064005739}>, <AutoAssem: An automated assembly planning system for complex products, {eid: 84864564598}>, <Object-oriented templates for automated assembly planning of complex products, {eid: 84898778091}>, <The internet of things for smart Manufacturing: a Review, IISE transactions, {eid: 85063081450}>",,,Elsevier Ltd,,,1/1/2019,,,,,,,eng,,Journal,,,,2-s2.0-85063085792
29,,"Lalanda P. (AUID: 22734050600), Mora P.C. (AUID: 57210562049), Morand D. (AUID: 57188687822)",,Data management in an industrial service-oriented platform,2019,"2019 IEEE International Conference on Industrial Cyber Physical Systems, ICPS 2019",,,,,,,1,10.1109/ICPHYS.2019.8780316,https://www.doi.org/10.1109/ICPHYS.2019.8780316,"<Grenoble Alpes University>, <Schneider Electric>",,"© 2019 IEEE.Pervasive computing envisions environments where computers are blended into our environment to provide services. This vision is today very popular and a number of pervasive platforms are already used today in smart homes, buildings or plants. Many platforms today are based on service-oriented computing. This allows to deal with dynamicity and heterogeneity issues. However, this approach is not adapted to applications based on flows of time-stamped data. In this paper, we present a service-oriented platform extended with a time-series database. This platform can host a variety of applications with different requirements regarding data to be manipulated. This is demonstrated in the industry 4.0 domain and, more precisely, on a water management application.","Service-oriented pervasive platforms, smart manufacturing, time series data",,,,,,,,"<The computer for the 21st century, {eid: 0010271698}>, <Fundamental challenges in mobile computing, {eid: 0029712060}>, <None, {eid: 84899127785}>, <A cyber-physical systems architecture for industry 4.0-based manufacturing systems, {eid: 84921300723}>, <Autonomic mediation middleware for smart manufacturing, {eid: 85012285123}>, <Fog and IoT: An overview of research opportunities, {eid: 85010031130}>, <Edge computing: Vision and challenges, {eid: 84987842183}>, <Internet of Things (IoT): A vision, architectural elements, future directions, {eid: 84876943063}>, <Concepts, characteristics and directions, {eid: 84946125131}>, <BASE-A microbroker-based middleware for pervasive computing, {eid: 78649711200}>, <IPOJO: An extensible service oriented component framework, {eid: 35248852965}>, <UbiSOAP: A service-oriented middleware for ubiquitous networking, {eid: 84858054159}>, <Pervasive smart spaces and environments: A service-oriented middleware architecture for wireless ad hoc and sensor networks, {eid: 85070873023}>, <Autohome An autonomic management framework for pervasive home applications, {eid: 79951939646}>, <None, {eid: 84890106421}>, <Service-oriented autonomic pervasive context, {eid: 84989315300}>, <The Gator Tech Smart House: A programmable pervasive space, {eid: 17644370977}>, <Toward an OSGi-based infrastructure for context-aware applications, {eid: 10944240882}>, <AMUSE: Autonomic management of ubiquitous e-health systems, {eid: 40249086888}>, <A component-based programming model for autonomic applications, {eid: 4544330277}>, <PCOM- A component system for pervasive computing, {eid: 2642529396}>, <None, {eid: 84870814828}>, <Autonomic caching management in industrial smart gateways, {eid: 85050128217}>, <Time series management systems: A survey, {eid: 85028502285}>, <Bridging high velocity and high volume industrial big data through distributed in-memory storage & analytics, {eid: 84921722304}>, <TSDS: Highperformance merge subset and filter software for time series-like data, {eid: 77953915398}>, <Gorilla: A fast scalable in-memory time series database, {eid: 84953869901}>, <Sensor data storage performance: SQL or NoSQL, Physical or Virtual, {eid: 84866773389}>, <In-Memory big data management and processing: A Survey, {eid: 84939792328}>",,,Institute of Electrical and Electronics Engineers Inc.,,,5/6/2019,,,,,,,eng,,Conference Proceeding,,,,2-s2.0-85070922604
32,,"Wu M. (AUID: 57210174873), Ding X. (AUID: 25421149900), Hou R. (AUID: 36620366800)",,Design and implementation of B2B E-commerce platform based on microservices architecture,2019,"2nd International Conference on Computer Science and Software Engineering, CSSE 2019",,,,,,,5,10.1145/3339363.3339369,https://www.doi.org/10.1145/3339363.3339369,"<College of information and engineering, Ocean University of China>",,"© 2019 Association for Computing Machinery.""Government Work 2018"" report proposed the development of industrial Internet, manufacturing industry transformation driving B2B transformation. In recent years, the concept of industry 4.0 and B2B Industry Internet have developed in coordination, and the accelerated transformation of manufacturing industry has also ushered in a new service concept for B2B industry. In order to meet the increasing demand of business expansion and concurrency performance of modern e-commerce platform, we propose a B2B e-commerce platform based on microservices and Spring Cloud [1] is used as the basic framework of microservices.","Architecture, B2B, E-commerce, Microservices",,,,,,,,"<None, {eid: 85069758003}>, <Servilla: A flexible service provisioning middleware for heterogeneous sensor networks, {eid: 84858997440}>, <Survey of implementation framework for microservices architecture, {eid: 85069783009}>, <Designing a smart city internet of things platform with microservice architecture, {eid: 84959050879}>, <Design and implementation of wi-fi operating service system for high-speed railway based on microsoft service architecture j, {eid: 85069781251}>, <Intelligent equipment maintenance and management platform based on microservice architecture J, {eid: 85069752760}>, <None, {eid: 85069781480}>, <An open IoT framework based on microservices architectureJ, {eid: 85015161312}>, <None, {eid: 85069777118}>, <None, {eid: 85069756547}>, <None, {eid: 85069775988}>, <None, {eid: 85069760751}>",,,Association for Computing Machinery,,,5/24/2019,,,,,,,eng,,Conference Proceeding,,,,2-s2.0-85069779190
